GEOID,NAME,Median_age,Total_population,Renters_occupied_percentage,Bachelors_percentage,Highschool_graduate_percentage,Below_highschool_percentage,White_alone_percentage,Black_or_African_American_percentage,Hispanic_or_Latino_percentage,American_Indian_and_Alaska_Native_percentage,Asian_percentage,Native_Hawaiian_and_other_Pacific_Island_percentage,Some_other_race_alone_percentage,Two_or_more_races_percentage,White_alone_not_hispanic_or_latino_percentage,Male_female_ratio,Areaname,Land_Area,popul_density
1045,"Dale County, Alabama",37.8,49293,43.56096835,8.536709066,21.0131256,9.987219281,71.5842006,20.67839247,6.664232244,0.837847159,1.379506218,0,2.193009149,3.327044408,6.664232244,0.969514144,"Dale, AL",561.15,87.84282277
1047,"Dallas County, Alabama",39.6,38184,39.99129796,6.898177247,24.29551645,10.76628955,27.22082548,71.46972554,0.282840981,0.125707102,0.654724492,0.028807878,0.002618898,0.497590614,0.282840981,0.85512316,"Dallas, AL",978.7,39.01501992
1049,"DeKalb County, Alabama",39.6,71430,25.99850153,5.832283354,22.13215736,14.86070279,84.77390452,1.530169397,14.74170517,1.1899762,0.106397872,0.128797424,8.758224836,3.512529749,14.74170517,0.977410514,"DeKalb, AL",777.09,91.91985484
1051,"Elmore County, Alabama",38.7,81526,23.59952324,11.709148,22.0273287,8.847484238,74.91229792,21.13436204,2.976964404,0.295611216,0.918725315,0,0.721242303,2.017761205,2.976964404,0.934738241,"Elmore, AL",618.49,131.8145807
1053,"Escambia County, Alabama",39.4,36775,33.9748023,6.123725357,30.06390211,13.732155,61.88171312,32.01631543,2.414683889,3.782460911,0.280081577,0.11692726,0.37253569,1.54996601,2.414683889,1.033453138,"Escambia, AL",945.08,38.91204977
1055,"Etowah County, Alabama",41.3,102721,25.83065487,7.558337633,23.46550365,10.31045259,79.14447873,16.08142444,4.076089602,0.514987198,0.786596704,0.002920532,1.265564003,2.204028388,4.076089602,0.931208874,"Etowah, AL",534.99,192.005458
1057,"Fayette County, Alabama",43.9,16406,22.80214579,6.43057418,30.07436304,11.14836036,84.62757528,12.20894795,0.542484457,0,0.658295745,0.024381324,0.006095331,2.474704376,0.542484457,0.96620326,"Fayette, AL",627.66,26.13835516
1059,"Franklin County, Alabama",39.2,31587,28.358786,6.850919682,26.03286162,14.22420616,82.3661633,3.928831481,17.67815874,1.032070155,0.864279609,0.018995156,10.05160351,1.738056796,17.67815874,0.979631487,"Franklin, AL",633.82,49.83591556
1061,"Geneva County, Alabama",43.6,26383,27.5367902,5.499753629,25.58844711,12.88329606,85.95686616,10.15047569,4.074593488,1.182579691,0.15919342,0.037903195,1.008224993,1.504756851,4.074593488,0.941068275,"Geneva, AL",574.41,45.93060706
1063,"Greene County, Alabama",44.6,8221,32.05973864,4.038438146,27.98929571,13.38036735,17.39447756,78.93200341,2.688237441,0.462230872,0,0,0.474394842,2.736893322,2.688237441,0.902128644,"Greene, AL",647.11,12.70417703
1065,"Hale County, Alabama",40.8,14754,20.57784244,7.20482581,25.28127965,13.1354209,38.41670056,59.14328318,0.06777823,0,0.189779043,0,0.101667344,2.148569879,0.06777823,0.904233351,"Hale, AL",643.94,22.91207255
1067,"Henry County, Alabama",44.7,17123,15.92203898,8.801027857,23.01582667,13.928634,70.04613678,26.58996671,2.645564445,0.198563336,0.426327162,0.210243532,0.846814226,1.681948257,2.645564445,0.932182352,"Henry, AL",561.75,30.48153093
1069,"Houston County, Alabama",40.2,105319,33.87463336,9.598458018,21.80803084,9.080982539,68.22795507,27.22870517,3.371661334,0.275353925,0.945698307,0.015191941,0.647556471,2.659539114,3.371661334,0.920302671,"Houston, AL",579.82,181.6408541
1071,"Jackson County, Alabama",43,51765,21.07012823,7.615184005,28.01313629,11.85356901,91.20254999,3.685888148,2.976914904,1.079880228,0.424997585,0.067613252,0.859654207,2.679416594,2.976914904,0.957680962,"Jackson, AL",1077.87,48.02527206
1073,"Jefferson County, Alabama",37.9,658615,33.8239696,14.30896654,17.99336486,6.481783743,51.41759602,42.89881038,3.910782475,0.175671675,1.581652407,0.028392915,1.663642644,2.234233961,3.910782475,0.897107452,"Jefferson, AL",1111.28,592.6634152
1075,"Lamar County, Alabama",44.3,13854,21.57933579,4.987729176,29.06019922,12.06871662,87.42601415,11.00765122,1.732351667,0.086617583,0.151580771,0,0.360906597,0.967229681,1.732351667,0.975755847,"Lamar, AL",604.85,22.90485244
1077,"Lauderdale County, Alabama",41.3,92870,28.42787107,11.0304727,24.07451276,7.856142996,85.94271562,10.24442769,2.75869495,0.363949607,0.625605685,0.068913535,0.309034134,2.44535372,2.75869495,0.923889625,"Lauderdale, AL",667.7,139.0894114
1079,"Lawrence County, Alabama",42.6,32969,22.07720078,7.234068367,28.15978647,13.64008614,78.24926446,10.67669629,2.259698505,5.966210683,0.121326094,0.066729352,0.494403834,4.425369286,2.259698505,0.920710749,"Lawrence, AL",690.68,47.7341171
1081,"Lee County, Alabama",32.4,163461,32.98101591,12.19006368,13.55246817,5.853995754,69.67655893,22.70939245,3.727494632,0.212894819,4.362508488,0.004282367,0.754920134,2.279442803,3.727494632,0.969813094,"Lee, AL",607.54,269.0538895
1083,"Limestone County, Alabama",40,96921,21.71588704,12.24915137,20.5744885,10.33006263,78.89827798,13.54505216,6.025525944,0.925496023,1.456856615,0.04436603,2.109965848,3.019985349,6.025525944,0.994464451,"Limestone, AL",559.94,173.0917598
1085,"Lowndes County, Alabama",42.5,9936,25.01285083,5.605877617,28.58293076,12.34903382,24.79871176,74.87922705,0.40257649,0.120772947,0,0,0,0.201288245,0.40257649,0.910401846,"Lowndes, AL",715.91,13.87883952
1087,"Macon County, Alabama",38.7,18437,35.74674718,7.116125183,19.80799479,10.63622064,16.27162771,82.23680642,0.433910072,0.081358139,0.195259532,0,0.065086511,1.149861691,0.433910072,0.836171696,"Macon, AL",608.89,30.27968927
1089,"Madison County, Alabama",38.5,367686,28.30227036,18.44889389,13.36466441,5.722817839,67.28295339,24.59952242,5.007533602,0.564068254,2.631593262,0.083223185,1.556491136,3.282148355,5.007533602,0.954632928,"Madison, AL",801.59,458.695842
1091,"Marengo County, Alabama",41.8,19138,30.17430947,6.782317902,26.00585223,9.906991326,46.58271502,51.76611976,2.586477166,0.125404953,0.047026858,0,0.224683875,1.254049535,2.586477166,0.886446525,"Marengo, AL",976.88,19.59094259
1093,"Marion County, Alabama",44.5,29818,21.84365984,5.707961634,24.63277215,13.5019116,92.28653833,3.782949896,2.568918103,0.456100342,0.060366222,0,1.613119592,1.800925615,2.568918103,0.980209855,"Marion, AL",742.29,40.17028385
1095,"Marshall County, Alabama",39.2,96137,28.76656864,9.400126902,20.79116261,11.15699471,90.27117551,2.93955501,14.14231773,0.385907611,0.639712078,0.037446561,2.002350812,3.723852419,14.14231773,0.974917315,"Marshall, AL",565.84,169.9013856
1097,"Mobile County, Alabama",38.1,413977,33.73971882,10.93925508,22.667926,8.581877737,58.00660423,36.10780309,2.897262408,0.663804994,1.866770376,0.014735118,1.113346877,2.226935313,2.897262408,0.909038925,"Mobile, AL",1229.44,336.7199701
1099,"Monroe County, Alabama",43.5,21006,29.5970696,5.979244026,32.20032372,11.56336285,54.38922213,42.4545368,0.352280301,1.361515757,0.595068076,0.057126535,0.104731981,1.037798724,0.352280301,0.925036657,"Monroe, AL",1025.68,20.48007176
1101,"Montgomery County, Alabama",36.7,226451,40.97754926,13.05359658,16.27813523,8.435820553,34.73643305,57.91937329,3.531448304,0.211083192,3.061589483,0.010156723,1.298735709,2.76262856,3.531448304,0.89147358,"Montgomery, AL",784.25,288.7484858
1103,"Morgan County, Alabama",40.5,119352,26.04592233,10.03921174,21.9627656,11.05301964,78.56173336,12.68265299,8.428849119,0.423956029,0.553823983,0.164220122,4.128125209,3.485488304,8.428849119,0.971684866,"Morgan, AL",579.34,206.0137398
1105,"Perry County, Alabama",38.5,9104,16.39344262,7.260544815,22.68233743,13.60940246,29.61335677,69.09050967,1.955184534,0.032952548,0.087873462,0,1.131370826,0.043936731,1.955184534,0.912605042,"Perry, AL",719.66,12.65041825
1107,"Pickens County, Alabama",42.5,20049,23.71139716,6.908075216,27.9714699,12.30485311,56.78088683,40.29128635,4.93291436,0.189535638,0.03990224,0,1.341712804,1.356676143,4.93291436,0.91398568,"Pickens, AL",881.41,22.74650844
1109,"Pike County, Alabama",30.8,33274,33.87573015,9.301556771,19.37248302,7.339063533,57.79287131,37.31141432,2.296087035,0.363647292,2.148824908,0.009016049,0.12321933,2.251006792,2.296087035,0.927474946,"Pike, AL",672.09,49.50825038
1111,"Randolph County, Alabama",43.6,22732,21.53029753,6.82298082,24.89442196,12.71775471,77.26112969,19.03484075,2.916593349,0.435509414,0.215555165,0,0.774238958,2.278726025,2.916593349,0.942739937,"Randolph, AL",580.55,39.15597278
1113,"Russell County, Alabama",36.7,57938,38.95208366,7.621940695,20.13531706,9.981359384,47.76657807,44.91525424,5.640512272,0.146708551,1.166764472,0.051779488,2.654561773,3.298353412,5.640512272,0.922997776,"Russell, AL",641.14,90.3671585
1115,"St. Clair County, Alabama",40.5,88929,18.50736864,8.709194976,24.41948071,9.977622598,87.02785368,9.444613118,2.448020331,0.54200542,0.751161039,0.020240866,0.811883638,1.402242238,2.448020331,0.990665503,"St. Clair, AL",631.9,140.7327109
1117,"Shelby County, Alabama",39.5,216350,17.6943344,19.72868038,13.27617287,4.639704183,79.75964872,12.11601572,5.710191819,0.38548648,1.955627456,0.019875202,2.690547724,3.072798706,5.710191819,0.935965925,"Shelby, AL",784.93,275.629674
1119,"Sumter County, Alabama",35.7,12595,33.73865388,6.042080191,21.00833664,8.955934895,25.32751092,71.35371179,1.159190155,0.063517269,1.961095673,0,0.309646685,0.984517666,1.159190155,0.838417749,"Sumter, AL",903.89,13.93421766
1121,"Talladega County, Alabama",41.4,80244,25.82636741,6.166193111,23.39988036,12.72493894,63.48262798,32.2815413,2.369024475,0.351428144,0.538358008,0.188176063,0.957080903,2.200787598,2.369024475,0.931774958,"Talladega, AL",736.78,108.9117511
1123,"Tallapoosa County, Alabama",45,40450,25.49904883,8.447466007,23.44375773,13.37206428,69.85908529,27.63411619,2.430160692,0.126081582,0.412855377,0,0.744128554,1.223733004,2.430160692,0.94303007,"Tallapoosa, AL",716.52,56.45341372
1125,"Tuscaloosa County, Alabama",33.2,208854,34.29018922,11.464468,18.14185986,6.57061871,63.34425005,32.22586113,3.814147682,0.216897929,1.644689592,0.021546152,0.851791203,1.694963946,3.814147682,0.928316206,"Tuscaloosa, AL",1321.76,158.0120445
1127,"Walker County, Alabama",42,63802,21.64174305,5.905770979,24.48355851,12.82875145,89.56145575,6.04369769,2.59709727,0.294661609,0.373029059,0,1.021911539,2.70524435,2.59709727,0.965194357,"Walker, AL",791.19,80.6405541
1129,"Washington County, Alabama",43.8,16336,8.461825417,4.285014691,30.14813908,9.653525955,65.9953477,24.25318315,0.863124388,7.486532811,0.183643487,0,0.153036239,1.928256611,0.863124388,0.980601358,"Washington, AL",1080.21,15.12298535
1131,"Wilcox County, Alabama",40.9,10552,28.59247618,5.278620167,27.03752843,13.8646702,27.17968158,70.29946929,0.454890068,0.113722517,0.037907506,0,0,2.369219105,0.454890068,0.857419468,"Wilcox, AL",888.5,11.87619584
1133,"Winston County, Alabama",46.1,23712,19.47688198,5.760796221,28.05752362,15.62921727,95.57607962,0.813933873,3.133434548,0.299426451,0.375337382,0.067476383,1.100708502,1.767037787,3.133434548,0.965354331,"Winston, AL",612.98,38.68315443
2013,"Aleutians East Borough, Alaska",44.1,3389,34.39244311,8.173502508,31.77928593,10.44555916,14.75361464,3.806432576,8.734139864,40.77899085,24.04839186,0.324579522,5.163765122,11.12422544,8.734139864,1.364968597,"Aleutians East, AK",6981.94,0.485395177
2016,"Aleutians West Census Area, Alaska",39.7,5708,74.56179775,10.59915907,31.34197617,6.044148563,26.45409951,2.92571829,13.82270498,10.77435179,40.96005606,2.978276104,5.536089699,10.37140855,13.82270498,1.764164649,"Aleutians West, AK",4390.28,1.300144865
2020,"Anchorage Municipality, Alaska",33.9,292090,35.67938274,14.95943031,15.62463624,3.955972474,61.19175597,5.308980109,9.384436304,7.504878633,9.816152556,2.852545448,2.355780753,10.96990654,9.384436304,1.040646658,"Anchorage, AK",1704.68,171.3459418
2050,"Bethel Census Area, Alaska",28.1,18263,37.10079544,3.060833379,26.22241691,8.914198105,10.26665937,0.793954991,1.938345288,83.19553195,1.160816952,0.246399825,0.268302031,4.068334885,1.938345288,1.074869348,"Bethel, AK",40570,0.450160217
2060,"Bristol Bay Borough, Alaska",44.8,739,41.74603175,15.42625169,22.73342355,4.736129905,51.96211096,0.541271989,10.1488498,30.44654939,2.300405954,1.217861976,2.841677943,10.69012179,10.1488498,1.273846154,"Bristol Bay, AK",503.84,1.466735472
2063,"Chugach Census Area, Alaska",39.2,6495,30.88660456,11.76289453,17.33641263,3.140877598,75.25789069,1.108545035,5.619707467,6.158583526,5.727482679,0.954580446,3.479599692,7.313317937,5.619707467,1.222792608,NA,NA,NA
2066,"Copper River Census Area, Alaska",39.7,2894,21.87833511,11.29923981,22.46026261,2.971665515,57.25639254,0.172771251,4.284727021,28.47270214,0.552868003,0,0.241879751,13.30338632,4.284727021,0.903947368,NA,NA,NA
2068,"Denali Borough, Alaska",43.8,2502,14.88833747,19.10471623,22.5019984,1.678657074,81.17505995,2.158273381,1.478816946,1.7186251,2.038369305,0,0.399680256,12.50999201,1.478816946,1.187062937,"Denali, AK",12751.41,0.196213595
2070,"Dillingham Census Area, Alaska",30.2,4934,31.93976174,5.006080259,23.6116741,7.924604783,16.53830563,1.499797325,3.019862181,74.01702473,0.405350628,0.060802594,0.689096068,6.789623024,3.019862181,1.049854591,"Dillingham, AK",18568.78,0.265714818
2090,"Fairbanks North Star Borough, Alaska",31.5,98455,38.23494451,11.80742471,15.09623686,3.478746636,73.89873546,4.700624651,8.182418364,7.734497994,3.269513991,0.566756386,1.676908232,8.152963283,8.182418364,1.171194813,"Fairbanks North Star, AK",7338.21,13.41675967
2100,"Haines Borough, Alaska",40.9,2547,34.14829659,10.91480173,22.34000785,1.334903808,77.11032587,0,5.182567727,6.438947782,1.766784452,0.157047507,0.039261877,14.48763251,5.182567727,1.25,"Haines, AK",2318.6,1.09850772
2105,"Hoonah-Angoon Census Area, Alaska",52.1,2135,26.1663286,11.94379391,29.74238876,4.918032787,48.99297424,3.37236534,9.274004684,33.34894614,2.295081967,0,0.983606557,11.00702576,9.274004684,1.165314402,"Hoonah-Angoon, AK",7524.92,0.283723947
2110,"Juneau City and Borough, Alaska",38.5,32099,31.00824755,17.8261005,15.17181221,2.651172934,66.35720739,0.866070594,6.925449391,10.07196486,6.810181003,1.16202997,1.380105299,13.35244089,6.925449391,1.054336,"Juneau, AK",2701.93,11.8800265
2122,"Kenai Peninsula Borough, Alaska",40.9,58809,24.7755138,11.30779302,21.88440545,4.909112551,81.4348144,0.646159601,4.245948749,7.905252597,1.659609924,0.360489041,1.486167083,6.507507354,4.245948749,1.084390728,"Kenai Peninsula, AK",16075.33,3.658338585
2130,"Ketchikan Gateway Borough, Alaska",40,13833,33.24380782,11.86293646,21.50654233,4.286850286,65.04012145,0.679534447,5.479650112,14.70396877,8.277307887,0.180727246,1.380756163,9.737584038,5.479650112,1.064318758,"Ketchikan Gateway, AK",4858.41,2.847227797
2150,"Kodiak Island Borough, Alaska",34.7,13383,45.84109249,11.93304939,18.04528133,6.941642382,53.32137787,0.500635134,9.048793245,12.43368453,22.86482851,0.231637152,1.188074423,9.459762385,9.048793245,1.145055297,"Kodiak Island, AK",6549.58,2.04333713
2158,"Kusilvak Census Area, Alaska",24.1,8298,26.93295659,1.289467342,26.42805495,10.4483008,3.289949385,0.469992769,1.132803085,92.97421065,0.132562063,0.07230658,0.698963606,2.362014943,1.132803085,1.176239182,NA,NA,NA
2164,"Lake and Peninsula Borough, Alaska",32.9,1156,36.17846751,6.574394464,22.14532872,7.352941176,24.30795848,6.920415225,0.259515571,58.73702422,2.249134948,0.259515571,0.08650519,7.439446367,0.259515571,0.846645367,"Lake and Peninsula, AK",23652.01,0.048875339
2170,"Matanuska-Susitna Borough, Alaska",35.5,107360,20.0149889,9.318181818,22.07805514,4.19057377,81.83029061,1.371087928,5.217958271,6.04880775,1.46609538,0.295268256,0.604508197,8.383941878,5.217958271,1.081063793,"Matanuska-Susitna, AK",24607.9,4.362826572
2180,"Nome Census Area, Alaska",28.4,10009,30.02291826,4.645818763,23.89849136,7.723049256,14.88660206,0.739334599,1.948246578,76.541113,2.657608153,0.019982016,0.159856129,4.995504046,1.948246578,1.102731092,"Nome, AK",22961.76,0.435898642
2185,"North Slope Borough, Alaska",34.2,9375,50.09469697,7.466666667,27.08266667,7.445333333,28.61866667,1.568,4.064,52.61866667,5.824,2.176,1.365333333,7.829333333,4.064,1.537899296,"North Slope, AK",88695.41,0.105698818
2188,"Northwest Arctic Borough, Alaska",28.5,7709,38.65039282,4.592035283,25.86587106,8.535478013,11.63575042,1.011804384,2.477623557,81.87832404,1.180438449,0.103774809,0.220521468,3.969386431,2.477623557,1.210782908,"Northwest Arctic, AK",35572.58,0.216711861
2195,"Petersburg Borough, Alaska",48.8,3278,24.55640051,14.82611348,25.5033557,8.175716901,67.3276388,2.013422819,7.748627212,6.863941428,14.52104942,0.183038438,0.366076876,8.724832215,7.748627212,1.025957973,"Petersburg, AK",3281.98,0.998787317
2198,"Prince of Wales-Hyder Census Area, Alaska",42.1,6338,26.56629432,8.314925844,26.82234143,6.137582834,47.15998738,0.552224677,3.83401704,39.27106343,1.546229094,0.631113916,0.268223414,10.57115809,3.83401704,1.209132102,"Prince of Wales-Hyder, AK",3922.87,1.615653845
2220,"Sitka City and Borough, Alaska",39.1,8569,34.40116491,15.68444393,18.07678842,3.395962189,64.40658186,0.630178551,6.90862411,11.51826351,7.643832419,0.163379624,0.770218228,14.8675458,6.90862411,1.05886593,"Sitka, AK",2870.34,2.985360619
2230,"Skagway Municipality, Alaska",40.9,1300,34.73108478,15.53846154,24.53846154,9.307692308,79,4.461538462,4,4.538461538,2.615384615,0,0.230769231,9.153846154,4,1.015503876,"Skagway, AK",452.33,2.874007915
2240,"Southeast Fairbanks Census Area, Alaska",36.8,6911,26.54650985,7.234843004,23.49877008,5.947040949,75.34365504,0.983938649,6.554767762,14.05006511,2.807119086,0.202575604,2.503255679,4.109390826,6.554767762,1.196059739,"Southeast Fairbanks, AK",24768.81,0.279020268
2275,"Wrangell City and Borough, Alaska",47.8,2510,27.33693394,8.605577689,24.34262948,8.764940239,65.17928287,0.3187251,3.944223108,22.74900398,1.71314741,1.274900398,0.478087649,8.28685259,3.944223108,1.175043328,"Wrangell, AK",2541.48,0.987613517
2282,"Yakutat City and Borough, Alaska",36.3,597,37.02290076,11.05527638,29.81574539,4.020100503,38.52596315,5.695142379,15.57788945,28.81072027,8.37520938,0.335008375,1.675041876,16.58291457,15.57788945,1.456790123,"Yakutat, AK",7649.46,0.078044725
2290,"Yukon-Koyukuk Census Area, Alaska",35.3,5305,25.44006706,5.278039585,26.95570217,7.690857681,22.28086711,0.094250707,2.488218662,69.80207352,0.603204524,0.037700283,0.188501414,6.993402451,2.488218662,1.09435452,"Yukon-Koyukuk, AK",145504.79,0.036459281
4001,"Apache County, Arizona",35.4,71714,20.40778259,4.87491982,19.84968068,11.79546532,22.01383272,0.759963187,6.624926793,73.29810079,0.365340101,0.076693533,1.05837075,2.427698915,6.624926793,0.974178275,"Apache, AZ",11197.52,6.404453843
4003,"Cochise County, Arizona",41,126442,30.59334347,10.98527388,16.75313583,7.915882381,82.08427579,4.079340725,35.47713576,1.155470492,1.887031208,0.31635058,2.428781576,8.048749624,35.47713576,1.037054341,"Cochise, AZ",6165.69,20.50735603
4005,"Coconino County, Arizona",31,142254,36.56806424,13.32053932,12.88188733,5.340447369,63.13073798,1.356025138,14.36936747,26.12158533,1.924023226,0.123019388,2.973554346,4.371054592,14.36936747,0.972189103,"Coconino, AZ",18618.89,7.640305088
4007,"Gila County, Arizona",50.4,53846,25.5530086,8.884596813,21.15291758,9.402741151,73.99621142,0.726144932,19.03948297,16.09218883,0.828288081,0.059428741,3.368866768,4.928871225,19.03948297,0.981453542,"Gila, AZ",4757.93,11.31710639
4009,"Graham County, Arizona",33.7,38304,27.36753182,6.323099415,19.05284043,9.247076023,77.4932122,1.783103592,33.11142439,12.56787803,0.684001671,0.107038429,1.469820384,5.894945698,33.11142439,1.146363331,"Graham, AZ",4622.6,8.286245836
4011,"Greenlee County, Arizona",35.7,9465,57.23297803,8.209191759,18.40464871,8.969889065,87.65979926,1.848917063,47.26888537,3.845747491,0.401479134,0,1.426307448,4.817749604,47.26888537,1.149670679,"Greenlee, AZ",1843.13,5.135286171
4012,"La Paz County, Arizona",57.4,21035,29.4011947,6.550986451,26.08985025,15.42666984,74.08604706,0.974566199,27.691942,14.59472308,0.81293083,0.019015926,4.055146185,5.457570715,27.691942,1.045211473,"La Paz, AZ",4499.63,4.674828819
4013,"Maricopa County, Arizona",36.6,4412779,35.563988,14.08618016,14.95391,7.77070413,73.78767439,5.658361772,31.14391181,1.927606164,4.244445507,0.219725484,7.096344503,7.065842182,31.14391181,0.978104385,"Maricopa, AZ",9200.14,479.6425924
4015,"Mohave County, Arizona",52.3,210998,31.09000122,6.397690973,26.40214599,10.44796633,87.95533607,0.936501768,16.71864188,2.048834586,1.187688983,0.222750927,3.150266827,4.49862084,16.71864188,1.01803818,"Mohave, AZ",13311.08,15.85130583
4017,"Navajo County, Arizona",38.2,110271,29.59646328,6.255497819,19.04580533,10.53767536,47.25630492,1.064649817,11.68122172,43.89277326,0.472472364,0.146910793,3.594780133,3.572108714,11.68122172,1.005146016,"Navajo, AZ",9950.42,11.08204478
4019,"Pima County, Arizona",38.7,1038476,33.99775908,13.0372777,14.46918369,7.393622963,73.31474199,3.509084466,37.5429957,3.59661658,2.897130025,0.168708762,8.673960689,7.839757491,37.5429957,0.968298013,"Pima, AZ",9187.04,113.0370609
